TotalPopulation	LifeExpectancyM	LifeExpectancyF	LifeExpectancyB	HealthyLifeExpectancy	CHEperCapita	CHEpercGDP	MaternalMortality	BirthsSkilledPersonnel	ChildMortality	NeonatalMortality	Tuberculosis	HepatitisB	NTDinterventions	CVDcancerDiabetesCRD	Suicide	Alcohol	TrafficMortality	AdolescentBirth	UHCcoverageIndex	AirPollutionMortality	WASHmortality	PoisoningMortality	DTP3coverage	MCV2coverage	PhysicianDensity	NurseDensity	DentistDensity	PharmacistDensity	IHRCCS13	GGHEDGGE	CleanFuel	UrbanParticulate	NaturalDisaster	Homicide	MajorConflict
Denmark	5712	79.3	83.2	81.2	71.8	5497	10.3	6	94	4.4	3.2	6.1	0.79	0	11.3	12.8	10.4	3.5	3.4	80	13.2	0.3	0.1	94	85	3.7	17	0.8	0.5	90	15.8	95	10.3	0.1	0.8	0.1
Djibouti	942	62.2	65.5	63.8	56.6	82	4.4	229	87	64.2	32.8	335	0.64	110561	19.6	6.7	0.5	24.7	20.6	47	159	31.3	2.4	84	82	0.2	0.6	0	0.2	33	4.1	12	41	0	6.8	2
Dominica	74	70.3	76.4	73.4	64.9	384	5.4	54	96	34	24	7.8	0.39	7473	18.8	7.9	8.2	15.3	44.35	65	68.6	1.3	0.6	99	92	1.5	3	0.3	0.25	62	10.6	91	18.8	0.1	5.2	0.1
Dominican Republic	10649	70.6	76.7	73.5	65.2	397	6.2	92	100	30.7	20.8	60	0.34	970832	19	9.9	6.9	29.3	45.3	74	43	2.2	0.4	87	89	1.5	1.3	0.2	0.25	55	9.5	90	13.3	0.1	16.8	0
Ecuador	16385	74.1	78.9	76.5	67.9	530	8.5	64	97	20.9	11.2	50	0.32	1942753	13	7.1	4.4	20.1	56.5	75	24.5	0.6	0.6	83	76	1.7	2.1	0.3	0.1	81	11	95	15.5	0.6	9.3	0.1
Egypt	95689	68.2	73	70.5	61.1	157	4.2	33	92	22.8	12.8	14	0.8	1673826	27.7	4	0.4	12.8	56	68	108.9	2	0.2	95	96	0.8	1.4	0.2	0.3	96	4.2	95	79.6	0	4.8	0.6
El Salvador	6345	69	78.1	73.7	65.5	283	6.9	54	100	15	7.5	60	0.57	742568	14	13.7	3.7	21.1	69.2	77	41.9	2	0.2	93	87	1.9	0.5	0.8	0.4	93	19.1	86	23.8	0	46	0
Equatorial Guinea	1221	57.9	61.7	59.5	53.8	280	2.7	342	68	90.9	32	181	8.66	428948	22	16.4	11.3	22.9	176	45	177.7	22.3	1.9	19	89	1.5	3	0.3	0.25	27	1.3	34	49.1	0	3.4	0
Eritrea	4955	62.9	67.1	65	57.4	31	3.3	501	34	44.5	17.7	74	0.74	1497725	23.9	7.9	1.3	24.1	76	38	173.7	45.6	4.2	95	85	1.5	3	0.3	0.25	49	1.8	16	41.1	0	7.8	0
Estonia	1312	73	82.1	77.8	68.2	1112	6.5	9	99	2.9	1.3	16	0.36	0	17	17.8	11.6	7	12.5	76	25	0.1	0.5	93	92	3.4	6.4	0.9	0.7	70	12.2	93	7	0.1	3.7	0.1
Ethiopia	102403	63.7	67.3	65.5	57.5	24	4	353	28	58.4	27.6	177	2.61	74204513	18.3	7.2	2.8	25.3	80	39	144.4	43.7	2.9	77	89	0	0.3	0.3	0	79	6	5	34	0	7.8	0.2
